Date,baseline,v5
2006-10-09,140780864.80532724,102168482.69501515
2006-10-10,140773372.30103862,102168482.69501515
2006-10-11,140991709.2782108,102168482.69501515
2006-10-12,140991709.2782108,102168482.69501515
2006-10-13,140991709.2782108,102168482.69501515
2006-10-16,140991709.2782108,102168482.69501515
2006-10-17,140984216.77083394,102160990.1876383
2006-10-18,140408801.91030586,101585575.32711022
2006-10-19,140096329.53374472,101273102.95054908
2006-10-20,139169944.28281558,100346717.69961992
2006-10-23,139262604.356731,100439377.77353537
2006-10-24,138523112.4148837,99699885.83168806
2006-10-25,141289486.25933424,102466259.6761386
2006-10-26,141584791.58690482,102761565.00370918
2006-10-27,141053380.2678357,102230153.68464006
2006-10-30,141528038.00242108,102704811.41922542
2006-10-31,141680755.13834146,102857528.55514582
2006-11-01,141263516.14426392,102440289.56106827
2006-11-02,140959724.1381344,102136497.55493875
2006-11-03,141292423.87046447,102475269.85986586
2006-11-06,142024609.1360579,103496799.65502921
2006-11-07,142169655.6757934,103641846.1947647
2006-11-08,142162163.1696752,103634353.6886465
2006-11-09,141748626.28655598,103220816.80552725
2006-11-10,142227929.08968386,103700119.60865515
2006-11-13,142728611.50128505,104200802.02025634
2006-11-14,142728611.50128505,104200802.02025634
2006-11-15,142728611.50128505,104200802.02025634
2006-11-16,142728611.50128505,104200802.02025634
2006-11-17,142721118.9956533,104193309.5146246
2006-11-20,143010632.52871665,104482823.04768795
2006-11-21,143003140.02561373,104475330.54458502
2006-11-22,143318967.6017154,104791158.12068667
2006-11-24,143311475.09580696,104783665.61477824
2006-11-27,142718685.5148121,104190876.03378339
2006-11-28,142789562.76833153,104261753.28730282
2006-11-29,142744571.29211122,104216761.8110825
2006-11-30,143383273.82413647,104855464.34310776
2006-12-01,143038180.22011614,104510370.73908743
2006-12-04,144094759.537473,105576965.43576296
2006-12-05,144094759.537473,105666792.58289315
2006-12-06,144094759.537473,105666792.58289315
2006-12-07,144087267.03050044,105659300.0759206
2006-12-08,143972251.46379596,105544284.50921611
2006-12-11,143871805.5450911,105443838.59051123
2006-12-12,143456645.22942314,105028678.27484329
2006-12-13,142775403.71824044,104347436.7636606
2006-12-14,144614378.87607333,106196477.51526755
2006-12-15,144608617.7237069,106185877.97471839
2006-12-18,144508908.19015443,106008721.82139687
2006-12-19,143837784.4949266,104995735.27460858
2006-12-20,144184360.36272237,105478117.81530741
2006-12-21,143521421.80112433,104230312.24195424
2006-12-22,142721428.33219472,103106318.03800768
2006-12-26,143873926.71087492,104661776.21636555
2006-12-27,144446246.47358194,105470081.7806566
2006-12-28,144464545.8451692,105497420.15016457
2006-12-29,144134676.94235474,105008313.01565811
2007-01-03,143896968.80850476,104689647.68630622
2007-01-04,145814369.53260976,107134640.50576892
2007-01-05,145806877.0289328,106832444.72642821
2007-01-08,145887966.69040722,106976231.29729
2007-01-09,145887966.69040722,107077406.05741583
2007-01-10,145887966.69040722,107237817.6929158
2007-01-11,145887966.69040722,107237817.6929158
2007-01-12,145887966.69040722,107237817.6929158
2007-01-16,145880474.18452412,107230325.1870327
2007-01-17,145713950.24289632,107063801.24540493
2007-01-18,144075814.08822203,105425665.09073062
2007-01-19,144929834.02596205,106279685.02847064
2007-01-22,144298081.8632114,105647932.86572
2007-01-23,144197511.92527887,105547362.92778748
2007-01-24,145930176.86985725,107280027.87236586
2007-01-25,145681580.1969223,107031431.19943091
2007-01-26,146739857.4890454,108097719.60131878
2007-01-29,146599648.3666369,107823162.93480402
2007-01-30,146795027.3834368,108128507.5705589
2007-01-31,146812457.44465292,108175491.55142064
2007-02-01,146934614.7471953,108421307.21845311
2007-02-02,146934614.7471953,108421307.21845311
2007-02-05,146934614.7471953,108421307.21845311
2007-02-06,146927122.24061263,108413814.71187043
2007-02-07,147221646.67917827,108708339.15043606
2007-02-08,147214154.174567,108700846.6458248
2007-02-09,146871117.79123056,108357810.26248835
2007-02-12,146357365.4710921,107844057.94234988
2007-02-13,146767325.14024466,108254017.61150247
2007-02-14,147669113.20248118,109155805.67373899
2007-02-15,147669113.20248118,109155805.67373899
2007-02-16,147661620.69846195,109148313.16971974
2007-02-20,147661620.69846195,109148313.16971974
2007-02-21,147636142.59386432,109122835.06512211
2007-02-22,148569590.72854447,110056283.19980228
2007-02-23,148569590.72854447,110056283.19980228
2007-02-26,148562098.22532845,110048790.69658625
2007-02-27,147755991.0559441,109242683.52720186
2007-02-28,147867266.78371486,109359991.11605622
2007-03-01,147656604.33715418,109020658.59630163
2007-03-02,146499699.48743656,107502711.0333452
2007-03-05,145507757.5801753,106120568.81573467
2007-03-06,148126929.60317177,109571117.67952326
2007-03-07,147883499.5976373,109204763.41603234
2007-03-08,148722329.17344064,110330866.23690726
2007-03-09,148891274.3550524,110499811.41851903
2007-03-12,149068111.520233,110676648.58369964
2007-03-13,148679247.23442176,110287784.2978884
2007-03-14,149014322.40426737,110622859.46773401
2007-03-15,148993139.27030703,110601676.33377366
2007-03-16,148656535.60077634,110265072.66424297
2007-03-19,148268748.8271741,109877285.89064072
2007-03-20,149259230.98731634,110873845.81064609
2007-03-21,150075164.99968445,112014240.75225522
2007-03-22,150067672.49520582,112006748.24777657
2007-03-23,150195468.1060903,112134543.85866107
2007-03-26,150187975.60177732,112127051.35434805
2007-03-27,150093018.1849658,112032093.93753652
2007-03-28,149532698.55772847,111471774.3102992
2007-03-29,148899831.17494857,110838906.9275193
2007-03-30,149252983.5785061,111198110.1763348
2007-04-02,149145154.6250437,111066195.12955195
2007-04-03,149798209.4913985,111836196.92876376
2007-04-04,150300817.2056876,112345270.7955373
2007-04-05,150448641.76213953,112641934.63494165
2007-04-09,150441149.25550738,112634442.1283095
2007-04-10,150627189.34888864,112820482.22169074
2007-04-11,150619696.8427528,112812989.71555491
2007-04-12,150842637.86610848,113035930.73891059
2007-04-13,150835145.36081558,113028438.23361768
2007-04-16,150987273.03992024,113180565.91272236
2007-04-17,150979780.53362095,113173073.40642308
2007-04-18,151441001.5502994,113634294.4231015
2007-04-19,151441001.5502994,113634294.4231015
2007-04-20,151441001.5502994,113634294.4231015
2007-04-23,151433509.04482093,113626801.91762304
2007-04-24,151982904.44231117,114176197.31511326
2007-04-25,151982904.44231117,114176197.31511326
2007-04-26,151982904.44231117,114176197.31511326
2007-04-27,151975411.93584996,114168704.80865206
2007-04-30,151645817.61212415,113839110.48492627
2007-05-01,151746847.42806777,113946179.28262319
2007-05-02,151888952.15689984,114231821.24836992
2007-05-03,151967665.19030887,114314391.61400126
2007-05-04,151967665.19030887,114418960.2510347
2007-05-07,151960172.6828177,114411467.74354357
2007-05-08,151901108.8304316,114352403.89115746
2007-05-09,152695785.20711857,115147080.26784441
2007-05-10,152688292.7023545,115139587.76308033
2007-05-11,152994253.10947338,115445548.17019923
2007-05-14,152986760.6029303,115438055.66365615
2007-05-15,152679623.87676978,115130918.93749562
2007-05-16,152683432.46099663,115134727.52172247
2007-05-17,152507121.0359016,114958416.09662746
2007-05-18,152620040.1152535,115071335.17597936
2007-05-21,152667948.9310838,115124074.7364045
2007-05-22,152823401.30800152,115344612.97225642
2007-05-23,152542449.52834624,114930103.78270459
2007-05-24,151810240.29380023,114034543.28499982
2007-05-25,152287495.41956642,114670885.24493696
2007-05-29,152648484.55404288,115188112.76892398
2007-05-30,152323265.31658846,114725379.42962863
2007-05-31,153360374.0562678,116071035.01645163
2007-06-01,153360374.0562678,116235855.22387488
2007-06-04,153352881.55153564,116228362.7191427
2007-06-05,153238073.78476402,116113554.95237109
2007-06-06,152652319.34035793,115527800.50796501
2007-06-07,151148022.08362114,114023503.25122823
2007-06-08,154699393.66676003,117574874.83436713
2007-06-11,154576463.43307197,117451944.60067904
2007-06-12,154156493.12376863,117031974.2913757
2007-06-13,155322621.5189478,118198102.68655488
2007-06-14,155626880.0168778,118502361.1844849
2007-06-15,155626880.0168778,118502361.1844849
2007-06-18,155626880.0168778,118502361.1844849
2007-06-19,155619387.5135518,118494868.6811589
2007-06-20,155462038.5224148,118337519.69002187
2007-06-21,156762859.51729867,119638340.68490577
2007-06-22,156755367.00999013,119630848.17759722
2007-06-25,156464796.40889397,119340277.57650107
2007-06-26,156217936.19900966,119093417.36661676
2007-06-27,158003699.9331869,120879181.10079399
2007-06-28,157996207.425961,120871688.59356809
2007-06-29,157843505.561685,120718986.7292921
2007-07-02,158416450.3652185,121291931.53282556
2007-07-03,158416450.3652185,121291931.53282556
2007-07-05,158416450.3652185,121291931.53282556
